date,track,venue,state
2023-04-23,Sunshine Coast,Sunshine Coast,QLD
2023-04-24,Donald,Donald,VIC
2023-04-24,Townsville,Townsville,QLD
2023-04-25,Beaudesert,Beaudesert,QLD
2023-04-25,Gawler,Gawler,SA
2023-04-25,Wondai,Wondai,QLD
2023-04-26,Ballarat,Ballarat,VIC
2023-04-26,Toowoomba,Toowoomba,QLD
2023-04-27,Mackay,Mackay,QLD
2023-04-27,Pakenham,Pakenham,VIC
2023-04-27,Seymour,Seymour,VIC
2023-04-28,Cranbourne,Cranbourne,VIC
2023-04-28,Geelong,Geelong,VIC
2023-04-28,Ipswich,Ipswich,QLD
2023-04-28,Mt Garnet,Mt Garnet,QLD
2023-04-29,Barcaldine,Barcaldine,QLD
2023-04-29,Eagle Farm,Eagle Farm,QLD
2023-04-29,Gold Coast Poly,Gold Coast,QLD
2023-04-29,Goondiwindi,Goondiwindi,QLD
2023-04-29,Gregory Downs,Gregory Downs,QLD
2023-04-29,Horsham,Horsham,VIC
2023-04-29,Morphettville,Morphettville,SA
2023-04-29,Sandown-Hillside,Sandown,VIC
2023-04-29,Toowoomba,Toowoomba,QLD
2023-04-30,Bendigo,Bendigo,VIC
2023-04-30,Naracoorte,Naracoorte,SA
2023-04-30,Rockhampton,Rockhampton,QLD
2023-04-30,Werribee,Werribee,VIC
2023-05-01,Bairnsdale,Bairnsdale,VIC
2023-05-01,Ipswich,Ipswich,QLD
2023-05-02,Thangool,Thangool,QLD
2023-05-02,Warrnambool,Warrnambool,VIC
2023-05-03,Eagle Farm,Eagle Farm,QLD
2023-05-03,Murray Bridge GH,Murray Bridge GH,SA
2023-05-03,Warrnambool,Warrnambool,VIC
2023-05-04,Kilcoy,Kilcoy,QLD
2023-05-04,Warrnambool,Warrnambool,VIC
2023-05-05,Cranbourne,Cranbourne,VIC
2023-05-05,Kyneton,Kyneton,VIC
2023-05-05,Townsville,Townsville,QLD
2023-05-06,Beaudesert,Beaudesert,QLD
2023-05-06,Burrandowan,Burrandowan,QLD
2023-05-06,Gordonvale,Gordonvale,QLD
2023-05-06,Ipswich,Ipswich,QLD
2023-05-06,Longreach,Longreach,QLD
2023-05-06,Morphettville,Morphettville,SA
2023-05-06,Sandown-Hillside,Sandown,VIC
2023-05-06,Sunshine Coast,Sunshine Coast,QLD
2023-05-06,Toowoomba,Toowoomba,QLD
2023-05-06,Warracknabeal,Warracknabeal,VIC
2023-05-07,Gatton,Gatton,QLD
2023-05-07,Pakenham Synthetic,Pakenham,VIC
2023-05-07,Port Augusta,Port Augusta,SA
2023-05-09,Ballarat Synthetic,Ballarat,VIC
2023-05-09,Mackay,Mackay,QLD
2023-05-10,Balaklava,Balaklava,SA
2023-05-10,Ipswich,Ipswich,QLD
2023-05-10,Sandown-Hillside,Sandown,VIC
2023-05-11,Cairns,Cairns,QLD
2023-05-11,Kilmore,Kilmore,VIC
2023-05-11,Pakenham,Pakenham,VIC
2023-05-12,Bordertown,Bordertown,SA
2023-05-12,Cranbourne,Cranbourne,VIC
2023-05-12,Gatton,Gatton,QLD
2023-05-12,Geelong,Geelong,VIC
2023-05-13,Bowen,Bowen,QLD
2023-05-13,Bundaberg,Bundaberg,QLD
2023-05-13,Doomben,Doomben,QLD
2023-05-13,Echuca,Echuca,VIC
2023-05-13,Flemington,Flemington,VIC
2023-05-13,Gold Coast Poly,Gold Coast,QLD
2023-05-13,Morphettville,Morphettville,SA
2023-05-13,Morphettville Parks,Morphettville,SA
2023-05-13,Mt Isa,Mt Isa,QLD
2023-05-13,Quilpie,Quilpie,QLD
2023-05-13,Rockhampton,Rockhampton,QLD
2023-05-13,Toowoomba,Toowoomba,QLD
2023-05-14,Ballarat,Ballarat,VIC
